timestamp,latency_sum,latency_count,latency_p95,latency_p99,error_rate,error_count,active_requests,memory_bytes,heap_used_bytes,heap_total_bytes,cpu_usage,event_loop_lag_sec,avg_latency_ms,heap_utilization,memory_growth_rate,cpu_x_latency,latency_spike,memory_leak_flag,service,fault_type,is_anomaly
2026-03-11 19:58:00,8876,1426,8.770833333333332,9.754166666666666,0,1,1,12263424,15370168,16855040,0.0053457627118642,0.0049405,6.224403927068724,0.9119033832017011,,0.03327418641690508,0,0,order-service,normal,0
2026-03-11 19:58:05,8879,1427,8.770833333333332,9.754166666666666,0,1,1,12349440,14781640,16855040,0.0053999999999997,0.0026174,6.222144358794674,0.8769863494835966,,0.03359957953748938,0,0,order-service,normal,0
2026-03-11 19:58:10,8883,1428,8.77083333333333,9.754166666666666,0,1,1,12374016,15079648,16855040,0.0054003661265168,0.0042641,6.220588235294118,0.894666995747266,,0.03359345399289127,0,0,order-service,normal,0
2026-03-11 19:58:15,8889,1429,8.865384615384615,9.773076923076925,0,1,1,12402688,15377640,16855040,0.0056135593220337,0.0055308,6.220433869839049,0.9123466927399757,,0.03491877453712915,0,0,order-service,normal,0
2026-03-11 19:58:20,8894,1430,8.865384615384615,9.773076923076925,0,1,1,12423168,14790248,16855040,0.0056677966101692,0.0041554,6.21958041958042,0.8774970572600242,,0.03525131681877263,0,0,order-service,normal,0
2026-03-11 19:58:25,8900,1431,8.946428571428571,9.789285714285716,0,1,1,12451840,15088176,16855040,0.0053491525423726,0.0060474,6.219426974143955,0.8951729571688943,,0.033268663610842866,0,1,order-service,normal,0
2026-03-11 19:58:30,8905,1432,8.946428571428571,9.789285714285716,0,1,1,12455936,15386048,16855040,0.0054033898305082,0.0044096,6.218575418994414,0.9128455346294047,,0.03360138717924269,0,1,order-service,normal,0
2026-03-11 19:58:35,8908,1433,8.865384615384615,9.773076923076925,0,1,1,12496896,14800736,16855040,0.0053525423728811,0.0027701,6.216329378925331,0.8781193043742406,,0.03327316640448349,0,1,order-service,normal,0
2026-03-11 19:58:40,8911,1434,8.770833333333332,9.754166666666666,0,1,1,12509184,15098880,16855040,0.005301694915254,0.0027814,6.214086471408647,0.8958080194410692,,0.0329451906484159,0,1,order-service,normal,0
2026-03-11 19:58:45,8921,1435,8.865384615384615,9.773076923076925,0,1,1,16986112,15410360,16855040,0.005294915254237,0.0101215,6.216724738675958,0.914287951852977,,0.03291703065020786,0,1,order-service,normal,0
